software mouseReMoCo;version 1.0.2;isWithLSL true;screenWidth 1920;screenHeight 1147;autoStart 3600;cycleMaxNumber 6;cycleDuration 20;borderColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];task circular;cornerX 467;cornerY 80;centerX 960;centerY 573;externalRadius 493;internalRadius 431;borderRadius 1;cursorRadius 16;indexOfDifficulty 99.98931100908203;taskRadius 461.5;taskTolerance 29
2022-02-07 16:32:43.206

timestamp,mouseX,mouseY,mouseInTarget
1644247994146,913,1011,0
1644247994156,909,1011,0
1644247994164,902,1011,0
1644247994172,899,1011,0
1644247994180,893,1011,0
1644247994188,888,1010,0
1644247994197,883,1010,0
1644247994205,878,1009,0
1644247994213,872,1008,0
1644247994221,867,1007,0
1644247994229,860,1007,0
1644247994238,854,1006,0
1644247994246,851,1005,0
1644247994253,842,1003,0
1644247994262,835,1002,0
1644247994270,830,1001,1
1644247994279,825,999,0
1644247994288,820,997,0
1644247994295,816,995,0
1644247994311,810,992,0
1644247994318,805,988,0
1644247994322,800,985,0
1644247994327,796,981,0
1644247994336,790,977,0
1644247994344,785,972,0
1644247994351,781,968,0
1644247994360,776,964,0
1644247994369,771,960,0
1644247994377,766,955,0
1644247994385,760,950,0
1644247994394,755,944,0
1644247994402,749,938,0
1644247994409,741,933,0
1644247994418,735,927,0
1644247994426,728,922,0
1644247994435,723,917,0
1644247994443,716,912,0
1644247994451,711,908,0
1644247994459,706,903,0
1644247994467,700,900,0
1644247994476,696,896,0
1644247994486,692,892,0
1644247994491,687,890,0
1644247994499,685,888,0
1644247994507,681,886,0
1644247994517,674,881,0
1644247994525,670,878,0
1644247994532,665,875,0
1644247994541,661,871,0
1644247994549,656,865,0
1644247994837,655,865,0
1644247994844,651,865,0
1644247994855,648,865,0
1644247994861,642,865,0
1644247994869,639,865,0
1644247994877,632,863,0
1644247994885,626,860,0
1644247994894,619,857,0
1644247994901,612,851,0
1644247994910,598,840,1
1644247994918,584,827,1
1644247994926,571,813,1
1644247994935,566,805,1
1644247994943,554,789,1
1644247994951,544,774,1
1644247994959,534,761,1
1644247994967,528,750,1
1644247994976,526,748,1
1644247994984,523,740,1
1644247994992,519,734,1
1644247995000,517,729,1
1644247995009,515,726,1
1644247995017,514,723,1
1644247995025,513,721,1
1644247995033,513,719,1
1644247995041,512,717,1
1644247995050,511,715,1
1644247995058,511,713,1
1644247995066,510,711,1
1644247995074,509,708,1
1644247995082,509,705,1
1644247995090,508,702,1
1644247995099,507,699,1
1644247995107,506,693,1
1644247995115,506,691,1
1644247995123,505,687,1
1644247995131,505,683,1
1644247995140,503,675,1
1644247995148,502,670,1
1644247995156,501,665,1
1644247995164,500,660,1
1644247995172,499,653,1
1644247995181,498,649,1
1644247995189,498,642,1
1644247995197,497,636,1
1644247995205,497,629,1
1644247995213,496,621,1
1644247995222,496,614,1
1644247995230,495,604,1
1644247995238,494,594,1
1644247995246,493,585,1
1644247995255,493,573,1
1644247995262,492,563,1
1644247995271,492,553,1
1644247995279,492,542,1
1644247995287,492,530,1
1644247995296,492,519,1
1644247995306,492,508,1
1644247995312,491,497,1
1644247995320,490,485,0
1644247995328,489,476,0
1644247995339,489,467,0
1644247995344,488,457,0
1644247995353,488,446,0
1644247995645,488,445,0
1644247995652,492,442,0
1644247995660,496,437,0
1644247995668,500,434,0
1644247995677,506,428,0
1644247995685,511,423,1
1644247995693,516,417,1
1644247995701,525,407,1
1644247995709,534,396,1
1644247995718,543,383,1
1644247995726,551,372,1
1644247995734,557,362,1
1644247995742,564,349,1
1644247995750,567,341,1
1644247995759,568,338,1
1644247995767,571,331,1
1644247995775,573,325,1
1644247995783,576,318,1
1644247995790,578,314,1
1644247995800,579,309,1
1644247995809,581,307,1
1644247995816,583,303,1
1644247995823,584,300,1
1644247995832,588,294,1
1644247995841,589,293,1
1644247995849,591,290,1
1644247995856,594,287,1
1644247995864,596,285,1
1644247995873,600,282,1
1644247995882,602,280,1
1644247995890,604,278,1
1644247995898,607,276,1
1644247995906,610,274,1
1644247995914,612,272,1
1644247995923,615,270,1
1644247995931,618,269,1
1644247995938,621,267,1
1644247995946,623,265,1
1644247995955,626,263,1
1644247995964,628,261,1
1644247995972,630,259,1
1644247995980,633,257,1
1644247995992,635,254,1
1644247995996,637,252,1
1644247996005,641,248,1
1644247996013,643,245,1
1644247996023,647,242,1
1644247996028,651,237,1
1644247996037,655,232,1
1644247996046,660,228,1
1644247996058,666,222,1
1644247996063,672,217,1
1644247996070,679,213,1
1644247996078,686,207,1
1644247996087,692,203,1
1644247996095,698,200,1
1644247996103,705,196,1
1644247996111,707,195,1
1644247996119,718,189,1
1644247996128,719,188,1
1644247996136,723,186,1
1644247996144,727,184,1
1644247996152,731,183,1
1644247996160,734,181,1
1644247996169,738,180,1
1644247996177,741,179,1
1644247996185,744,178,1
1644247996193,747,177,1
1644247996200,751,175,1
1644247996210,754,174,1
1644247996218,757,174,1
1644247996225,761,172,1
1644247996234,767,170,0
1644247996241,769,169,0
1644247996251,776,167,0
1644247996258,780,166,0
1644247996267,785,164,0
1644247996275,792,162,0
1644247996283,797,161,0
1644247996292,804,159,0
1644247996300,811,157,0
1644247996308,820,155,0
1644247996320,828,155,0
1644247996325,838,153,0
1644247996333,845,152,0
1644247996340,855,151,0
1644247996348,863,149,0
1644247996357,871,148,0
1644247996365,881,147,0
1644247996373,887,146,0
1644247996382,895,145,0
1644247996390,903,143,0
1644247996397,906,142,0
1644247996406,917,140,0
1644247996415,920,140,0
1644247996423,925,139,0
1644247996431,935,137,0
1644247996438,937,137,0
1644247996447,942,136,0
1644247996456,946,136,0
1644247996463,950,136,0
1644247996472,953,136,0
1644247996480,957,136,0
1644247996491,961,136,0
1644247996496,964,136,0
1644247996504,971,136,0
1644247996512,976,136,0
